Num2,Linear
1090,2.6e-07
1090,9e-07
1090,1.3e-06
1090,1.95e-06
1090,2.07e-06
1090,7.1e-07
1090,7.7e-07
1100,9.3e-07
1100,1.02e-06
1100,2.82e-06
1100,1.91e-06
1100,1.5e-07
1100,6.4e-07
1100,2.22e-06
1100,3.04e-06
1100,2.32e-06
1100,7.3e-07
1110,3.05e-06
1110,3.23e-06
1110,2.96e-06
1110,9.5e-07
1110,5e-07
1110,1.02e-06
1110,2.961e-06
1110,2.52e-06
1110,2.84e-06
1110,1.5e-07
1120,2.45e-06
1120,1.6e-07
1120,1.02e-06
1120,3.2e-06
1120,4.5e-07
1120,3.1e-06
1120,3.23e-06
1120,1.13e-06
1120,2.36e-06
1120,1.1e-07
1130,1.22e-06
1130,1.22e-06
1130,1.68e-06
1130,5.4e-07
1130,1.37e-06
1130,2.63e-06
1130,2.76e-06
1130,3.1e-06
1130,2.25e-06
1130,1.65e-06
1140,3.8e-07
1140,2.1e-07
1140,3.01e-06
1140,1.71e-06
1140,1.5e-06
1140,2.02e-06
1140,3.17e-06
1140,5.4e-07
1140,2.57e-06
1140,9.1e-07
1150,4.3e-07
1150,1.15e-06
1150,3.36e-06
1150,1.8e-06
1150,8.7e-07
1150,2.33e-06
1150,3.29e-06
1150,2.7e-07
1150,1.01e-06
1150,2.98e-06
1160,3.09e-06
1160,1.65e-06
1160,2.13e-06
1160,1.69e-06
1160,1.06e-06
1160,1.211e-06
1160,3.07e-06
1160,1.61e-06
1160,3.31e-06
1160,6.6e-07
1170,3.38e-06
1170,1.92e-06
1170,2.54e-06
1170,2.29e-06
1170,1.44e-06
1170,2.94e-06
1170,6.9e-07
1170,3.41e-06
1170,1.71e-06
1170,1.15e-06
1180,6e-08
1180,2.88e-06
1180,2.04e-06
1180,7e-08
1180,3.55e-06
1180,2.96e-06
1180,5.5e-07
1180,1.64e-06
1180,2.43e-06
1180,2.21e-06
1190,2.68e-06
1190,5e-08
1190,3.47e-06
1190,1.61e-06
1190,2.54e-06
1190,2.51e-06
1190,3.6e-07
1190,8e-07
1190,1.39e-06
1190,3.26e-06
1200,6.8e-07
1200,2.51e-06
1200,1.1e-06
1200,2.2e-07
1200,1.06e-06
1200,3.33e-06
1200,2.72e-06
1200,5.5e-07
1200,8.3e-07
1200,1.35e-06
1210,2.84e-06
1210,2.7e-07
1210,2.12e-06
1210,1.51e-06
1210,2.6e-07
1210,3.55e-06
1210,2.28e-06
1210,1.51e-06
1210,2.23e-06
1210,6.5e-07
1220,2.05e-06
1220,1.32e-06
1220,2.98e-06
1220,8e-07
1220,8.5e-07
1220,1.87e-06
1220,5e-08
1220,2.23e-06
1220,3.5e-07
1220,3.31e-06
1230,3.4e-06
1230,2.27e-06
1230,1.55e-06
1230,3.29e-06
1230,8.4e-07
1230,1.1e-06
1230,1.18e-06
1230,9.8e-07
1230,3.8e-07
1230,2.07e-06
1240,2.83e-06
1240,1.54e-06
1240,2.97e-06
1240,2.56e-06
1240,7.1e-07
1240,1.36e-06
1240,2.18e-06
1240,2.79e-06
1240,2.96e-06
1240,2.9e-07
1250,3.09e-06
1250,1.02e-06
1250,3.19e-06
1250,2.66e-06
1250,3.25e-06
1250,4.6e-07
1250,1.88e-06
1250,2.89e-06
1250,7.5e-07
1250,1.84e-06
1260,1.59e-06
1260,3.47e-06
1260,1.611e-06
1260,2.86e-06
1260,3.66e-06
1260,1.54e-06
1260,1.28e-06
1260,1.6e-06
1260,1.99e-06
1260,1.77e-06
1270,2.21e-06
1270,1.54e-06
1270,3.19e-06
1270,2.29e-06
1270,1.8e-06
1270,2.8e-06
1270,1.56e-06
1270,1.3e-07
1270,3.03e-06
1270,2.28e-06
1280,1.66e-06
1280,3.3e-07
1280,2.54e-06
1280,5.2e-07
1280,9.1e-07
1280,6.8e-07
1280,1.83e-06
1280,9.7e-07
1280,1.32e-06
1280,3.25e-06
1290,2.93e-06
1290,2.79e-06
1290,2.44e-06
1290,1.19e-06
1290,3.62e-06
1290,1.73e-06
1290,2.2e-06
1290,2.57e-06
1290,3.19e-06
1290,4.27e-06
1300,8.6e-07
1300,5e-07
1300,2.81e-06
1300,7.4e-07
1300,1.32e-06
1300,2.36e-06
1300,7e-07
1300,2.38e-06
1300,1.57e-06
1300,1.63e-06
1310,8.5e-07
1310,3.49e-06
1310,2.82e-06
1310,9.7e-07
1310,7.1e-07
1310,2.6e-06
1310,2.46e-06
1310,1.9e-07
1310,2.36e-06
1310,2.72e-06
1320,2.04e-06
1320,1.04e-06
1320,2.55e-06
1320,2.45e-06
1320,2.13e-06
1320,1.51e-06
1320,2e-06
1320,1.9e-06
1320,1.89e-06
1320,2.44e-06
1330,2.18e-06
1330,2.09e-06
1330,8e-08
1330,1.01e-06
1330,2.9e-07
1330,1.4e-07
1330,1.9e-06
1330,3.23e-06
1330,2.34e-06
1330,3.65e-06
1340,2.75e-06
1340,2.28e-06
1340,1.39e-06
1340,9.1e-07
1340,5.5e-07
1340,1.19e-06
1340,5.4e-07
1340,1.03e-06
1340,2.3e-07
1340,2.5e-07
1350,3.59e-06
1350,2.28e-06
1350,3.56e-06
1350,2.57e-06
1350,3.3e-06
1350,3.04e-06
1350,1.72e-06
1350,4.8e-07
1350,6.6e-07
1350,2.8e-07
1360,1.07e-06
1360,2.09e-06
1360,2.7e-07
1360,2.19e-06
1360,1.03e-06
1360,1.85e-06
1360,4.9e-07
1360,1.24e-06
1360,2.14e-06
1360,3.75e-06
1370,3.3e-06
1370,2.67e-06
1370,3.37e-06
1370,3.8e-07
1370,2.02e-06
1370,1.35e-06
1370,2.17e-06
1370,2.4e-07
1370,2.24e-06
1370,3.58e-06
1380,3.79e-06
1380,3.2e-07
1380,3.69e-06
1380,3.22e-06
1380,2.73e-06
1380,1.42e-06
1380,6.5e-07
1380,3e-06
1380,1.2e-07
1380,1.8e-07
1390,2.13e-06
1390,2.4e-07
1390,1.1e-07
1390,6.1e-07
1390,1.1e-07
1390,4.05e-06
1390,2.39e-06
1390,5.1e-07
1390,3.08e-06
1390,2.24e-06
1400,4.03e-06
1400,3.47e-06
1400,1.2e-07
1400,3.06e-06
1400,2.56e-06
1400,1.341e-06
1400,3.5e-07
1400,1.7e-07
1400,9e-08
1400,7.1e-07
1410,2.98e-06
1410,2.88e-06
1410,2.33e-06
1410,3.06e-06
1410,4.4e-07
1410,2.4e-06
1410,8e-07
1410,3.01e-06
1410,2.72e-06
1410,1.23e-06
1420,2.76e-06
