Num5,LinearLM
1090,1.25e-06
1090,1.26e-06
1090,1.25e-06
1100,1.26e-06
1100,1.27e-06
1100,1.26e-06
1100,1.26e-06
1100,1.27e-06
1100,1.26e-06
1100,1.26e-06
1100,1.27e-06
1100,1.27e-06
1100,1.27e-06
1110,1.28e-06
1110,1.27e-06
1110,1.26e-06
1110,1.27e-06
1110,1.26e-06
1110,1.26e-06
1110,1.27e-06
1110,1.28e-06
1110,1.27e-06
1110,1.27e-06
1120,1.28e-06
1120,1.27e-06
1120,1.28e-06
1120,1.27e-06
1120,1.28e-06
1120,1.28e-06
1120,1.28e-06
1120,1.28e-06
1120,1.29e-06
1120,1.29e-06
1130,1.3e-06
1130,1.28e-06
1130,1.29e-06
1130,1.29e-06
1130,1.29e-06
1130,1.29e-06
1130,1.29e-06
1130,1.29e-06
1130,1.29e-06
1130,1.29e-06
1140,1.31e-06
1140,1.3e-06
1140,1.31e-06
1140,1.3e-06
1140,1.31e-06
1140,1.3e-06
1140,1.3e-06
1140,1.31e-06
1140,1.31e-06
1140,1.31e-06
1150,1.32e-06
1150,1.31e-06
1150,1.32e-06
1150,1.31e-06
1150,1.31e-06
1150,1.31e-06
1150,1.31e-06
1150,1.32e-06
1150,1.31e-06
1150,1.31e-06
1160,1.33e-06
1160,1.32e-06
1160,1.33e-06
1160,1.32e-06
1160,1.32e-06
1160,1.32e-06
1160,1.32e-06
1160,1.32e-06
1160,1.32e-06
1160,1.32e-06
1170,1.34e-06
1170,1.35e-06
1170,1.34e-06
1170,1.35e-06
1170,1.33e-06
1170,1.34e-06
1170,1.33e-06
1170,1.34e-06
1170,1.34e-06
1170,1.33e-06
1180,1.35e-06
1180,1.35e-06
1180,1.35e-06
1180,1.36e-06
1180,1.36e-06
1180,1.35e-06
1180,1.35e-06
1180,1.36e-06
1180,1.35e-06
1180,1.35e-06
1190,1.37e-06
1190,1.36e-06
1190,1.37e-06
1190,1.36e-06
1190,1.36e-06
1190,1.36e-06
1190,1.36e-06
1190,1.35e-06
1190,1.36e-06
1190,1.36e-06
1200,1.37e-06
1200,1.36e-06
1200,1.37e-06
1200,1.37e-06
1200,1.37e-06
1200,1.36e-06
1200,1.37e-06
1200,1.36e-06
1200,1.37e-06
1200,1.37e-06
1210,1.38e-06
1210,1.38e-06
1210,1.38e-06
1210,1.38e-06
1210,1.379e-06
1210,1.38e-06
1210,1.39e-06
1210,1.38e-06
1210,1.39e-06
1210,1.38e-06
1220,1.4e-06
1220,1.38e-06
1220,1.39e-06
1220,1.39e-06
1220,1.39e-06
1220,1.39e-06
1220,1.39e-06
1220,1.39e-06
1220,1.39e-06
1220,1.39e-06
1230,1.4e-06
1230,1.4e-06
1230,1.41e-06
1230,1.4e-06
1230,1.41e-06
1230,1.4e-06
1230,1.4e-06
1230,1.41e-06
1230,1.4e-06
1230,1.41e-06
1240,1.41e-06
1240,1.42e-06
1240,1.43e-06
1240,1.42e-06
1240,1.41e-06
1240,1.41e-06
1240,1.41e-06
1240,1.41e-06
1240,1.41e-06
1240,1.41e-06
1250,1.42e-06
1250,1.43e-06
1250,1.43e-06
1250,1.43e-06
1250,1.43e-06
1250,1.43e-06
1250,1.43e-06
1250,1.43e-06
1250,1.42e-06
1250,1.42e-06
1260,1.44e-06
1260,1.45e-06
1260,1.44e-06
1260,1.43e-06
1260,1.43e-06
1260,1.43e-06
1260,1.43e-06
1260,1.44e-06
1260,1.44e-06
1260,1.44e-06
1270,1.45e-06
1270,1.45e-06
1270,1.45e-06
1270,1.45e-06
1270,1.45e-06
1270,1.45e-06
1270,1.44e-06
1270,1.45e-06
1270,1.44e-06
1270,1.45e-06
1280,1.45e-06
1280,1.46e-06
1280,1.46e-06
1280,1.46e-06
1280,1.47e-06
1280,1.47e-06
1280,1.46e-06
1280,1.46e-06
1280,1.46e-06
1280,1.46e-06
1290,1.48e-06
1290,1.48e-06
1290,1.47e-06
1290,1.47e-06
1290,1.48e-06
1290,1.47e-06
1290,1.46e-06
1290,1.47e-06
1290,1.48e-06
1290,1.47e-06
1300,1.48e-06
1300,1.48e-06
1300,1.49e-06
1300,1.49e-06
1300,1.49e-06
1300,1.49e-06
1300,1.49e-06
1300,1.49e-06
1300,1.49e-06
1300,1.49e-06
1310,1.5e-06
1310,1.5e-06
1310,1.5e-06
1310,1.5e-06
1310,1.49e-06
1310,1.49e-06
1310,1.49e-06
1310,1.49e-06
1310,1.49e-06
1310,1.49e-06
1320,1.51e-06
1320,1.5e-06
1320,1.5e-06
1320,1.51e-06
1320,1.51e-06
1320,1.51e-06
1320,1.51e-06
1320,1.5e-06
1320,1.5e-06
1320,1.5e-06
1330,1.51e-06
1330,1.51e-06
1330,1.519e-06
1330,1.51e-06
1330,1.52e-06
1330,1.52e-06
1330,1.52e-06
1330,1.52e-06
1330,1.51e-06
1330,1.51e-06
1340,1.54e-06
1340,1.53e-06
1340,1.54e-06
1340,1.53e-06
1340,1.53e-06
1340,1.53e-06
1340,1.53e-06
1340,1.53e-06
1340,1.92e-06
1340,1.54e-06
1350,1.55e-06
1350,1.55e-06
1350,1.55e-06
1350,1.55e-06
1350,1.55e-06
1350,1.54e-06
1350,1.54e-06
1350,1.54e-06
1350,1.54e-06
1350,1.54e-06
1360,1.54e-06
1360,1.54e-06
1360,1.55e-06
1360,1.55e-06
1360,1.55e-06
1360,1.55e-06
1360,1.55e-06
1360,1.55e-06
1360,1.55e-06
1360,1.54e-06
1370,1.56e-06
1370,1.56e-06
1370,1.56e-06
1370,1.56e-06
1370,1.57e-06
1370,1.57e-06
1370,1.57e-06
1370,1.57e-06
1370,1.56e-06
1370,1.57e-06
1380,1.58e-06
1380,1.59e-06
1380,1.56e-06
1380,1.57e-06
1380,1.57e-06
1380,1.57e-06
1380,1.57e-06
1380,1.57e-06
1380,1.57e-06
1380,1.56e-06
1390,1.58e-06
1390,1.58e-06
1390,1.57e-06
