Num4,Llinear
22070,5.372e-05
22090,5.435e-05
22110,5.3849e-05
22130,5.444e-05
22150,6.009e-05
22170,5.399e-05
22190,5.462e-05
22210,5.471e-05
22230,5.471e-05
22250,5.42e-05
22270,5.42e-05
22290,5.426e-05
22310,5.431e-05
22330,5.436e-05
22350,5.5e-05
22370,5.507e-05
22390,5.451e-05
22410,5.5169e-05
22430,5.458e-05
22450,5.465e-05
22470,5.472e-05
22490,5.609e-05
22510,5.483e-05
22530,5.4839e-05
22550,5.489e-05
22570,5.497e-05
22590,5.4969e-05
22610,5.501e-05
22630,5.5089e-05
22650,5.514e-05
22670,5.519e-05
22690,5.522e-05
22710,5.589e-05
22730,5.593e-05
22750,5.815e-05
22770,5.606e-05
22790,5.6079e-05
22810,5.615e-05
22830,5.555e-05
22850,5.628e-05
22870,5.5689e-05
22890,5.6309e-05
22910,5.575e-05
22930,5.647e-05
22950,5.648e-05
22970,5.655e-05
22990,5.911e-05
23010,5.926e-05
23030,6.139e-05
23050,5.676e-05
23070,5.647e-05
23090,5.654e-05
23110,5.654e-05
23130,5.659e-05
23150,5.7019e-05
23170,5.639e-05
23190,5.704e-05
23210,5.648e-05
23230,5.653e-05
23250,5.721e-05
23270,5.6939e-05
23290,5.701e-05
23310,5.675e-05
23330,5.6769e-05
23350,5.744e-05
23370,5.7549e-05
23390,5.754e-05
23410,5.761e-05
23430,5.704e-05
23450,5.772e-05
23470,5.744e-05
23490,5.7529e-05
23510,5.787e-05
23530,5.7259e-05
23550,5.795e-05
23570,5.736e-05
23590,5.747e-05
23610,5.748e-05
23630,5.789e-05
23650,5.819e-05
23670,5.7599e-05
23690,5.8309e-05
23710,5.85e-05
23730,5.807e-05
23750,5.814e-05
23770,5.784e-05
23790,5.854e-05
23810,5.866e-05
23830,5.801e-05
23850,5.804e-05
23870,5.81e-05
23890,5.88e-05
23910,5.887e-05
23930,5.887e-05
23950,5.8309e-05
23970,5.9489e-05
23990,5.872e-05
24010,5.876e-05
24030,5.851e-05
24050,5.8529e-05
24070,5.923e-05
24090,5.932e-05
24110,5.8689e-05
24130,5.941e-05
24150,6.222e-05
24170,5.948e-05
24190,5.887e-05
24210,5.894e-05
24230,5.93e-05
24250,5.969e-05
24270,5.9079e-05
24290,6.192e-05
24310,5.9179e-05
24330,5.989e-05
24350,5.9279e-05
24370,5.933e-05
24390,6.005e-05
24410,5.9729e-05
24430,6.21e-05
24450,5.953e-05
24470,5.955e-05
24490,5.965e-05
24510,5.964e-05
24530,6.036e-05
24550,6.2539e-05
24570,6.0479e-05
24590,6.2819e-05
24610,6.0559e-05
24630,6.0619e-05
24650,6.0009e-05
24670,6.075e-05
24690,6.0769e-05
24710,6.0829e-05
24730,6.0179e-05
24750,6.093e-05
24770,6.064e-05
