Num,Ordenament bombolla
1080,0.00733194
1080,0.00747186
1080,0.00735253
1080,0.0073542
1080,0.00753303
1080,0.00734989
1080,0.00737473
1080,0.00752834
1080,0.00736329
1090,0.00767653
1090,0.00747412
1090,0.00759444
1090,0.00759467
1090,0.00754654
1090,0.0076455
1090,0.00754775
1090,0.00774859
1090,0.0074675
1090,0.0075674
1100,0.00783986
1100,0.00772295
1100,0.00761472
1100,0.00772851
1100,0.0077671
1100,0.00778309
1100,0.00762099
1100,0.00778358
1100,0.0076514
1100,0.00769342
1110,0.00787718
1110,0.00804004
1110,0.00779766
1110,0.00795484
1110,0.00776908
1110,0.00777894
1110,0.00777812
1110,0.00790136
1110,0.00787916
1110,0.00780507
1120,0.008052
1120,0.00793003
1120,0.00801749
1120,0.00794446
1120,0.0079282
1120,0.00792108
1120,0.00799974
1120,0.0079696
1120,0.00810801
1120,0.00806415
1130,0.00806926
1130,0.00809082
1130,0.0080751
1130,0.00810936
1130,0.00803169
1130,0.00812963
1130,0.00805908
1130,0.00816803
1130,0.00818984
1130,0.00818187
1140,0.00818163
1140,0.00830701
1140,0.00831482
1140,0.00829826
1140,0.0083119
1140,0.00835644
1140,0.00825643
1140,0.00836697
1140,0.00827374
1140,0.00826434
1150,0.00854746
1150,0.00845246
1150,0.00840006
1150,0.00835986
1150,0.0083298
1150,0.00853455
1150,0.00850375
1150,0.00853507
1150,0.00837946
1150,0.00843588
1160,0.00864817
1160,0.00863719
1160,0.00841622
1160,0.00858063
1160,0.00859418
1160,0.00863613
1160,0.0084906
1160,0.00854816
1160,0.00845754
1160,0.0086074
1170,0.00890247
1170,0.00866616
1170,0.00866569
1170,0.00874825
1170,0.00861753
1170,0.00882768
1170,0.00875039
1170,0.00879112
1170,0.00877721
1170,0.00868643
1180,0.00883635
1180,0.00889174
1180,0.00889312
1180,0.00882297
1180,0.00865996
1180,0.0088206
1180,0.00906546
1180,0.00886375
1180,0.00893165
1180,0.00889472
1190,0.00900926
1190,0.0090378
1190,0.00903135
1190,0.00893486
1190,0.00902482
1190,0.00892323
1190,0.00912356
1190,0.00890102
1190,0.00912303
1190,0.00894551
1200,0.00914208
1200,0.00920736
1200,0.00927641
1200,0.00922369
1200,0.0091943
1200,0.00911118
1200,0.00932543
1200,0.0092042
1200,0.00924239
1200,0.00919878
1210,0.00933489
1210,0.009267
1210,0.00926249
1210,0.00932728
1210,0.0093329
1210,0.0093094
